	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
8	-0.06707	0.23934	-0.13475	0.13578	-0.00096	0.03856	0.08804	0.17943	-0.17658	0.02657	0.03044	0.03048	-0.25128	-0.22416	-0.04996	0.05625	-0.12422	-0.03295	-0.03884	-0.15779	0.05199	0.21491	-0.19537	0.00888	0.00129	-0.02706	0.04079	0.22525	0.01460	0.02102	-0.36686	-0.31291	0.01628
9	-0.04783	0.24886	-0.16166	0.12007	-0.01314	0.03504	0.11503	0.17652	-0.17850	0.02274	0.01778	0.03221	-0.23806	-0.26031	-0.04678	0.08324	-0.14674	-0.05390	-0.00979	-0.16243	0.04056	0.23984	-0.19458	-0.00500	-0.00412	-0.05700	0.01929	0.27001	-0.03696	-0.00186	-0.35019	-0.30730	0.01752
10	-0.03564	0.25719	-0.19207	0.10430	-0.02542	0.03324	0.13262	0.18184	-0.17877	0.01644	0.00314	0.03549	-0.22786	-0.29984	-0.04373	0.10277	-0.16498	-0.06795	0.00404	-0.16714	0.02824	0.26120	-0.19040	-0.02195	-0.01552	-0.10000	-0.00266	0.30332	-0.09140	-0.02910	-0.34091	-0.30410	0.01635
11	-0.02277	0.26427	-0.22890	0.09264	-0.03541	0.03386	0.14883	0.19355	-0.18857	0.01916	-0.00913	0.04000	-0.22146	-0.34211	-0.04158	0.12318	-0.17928	-0.07188	0.01197	-0.17502	0.01916	0.28568	-0.20211	-0.03741	-0.02178	-0.15989	-0.02279	0.33268	-0.14712	-0.05651	-0.32646	-0.31609	0.01571
12	-0.00609	0.26629	-0.27197	0.08880	-0.04190	0.03751	0.16594	0.19976	-0.21109	0.03438	-0.01672	0.04474	-0.21483	-0.38514	-0.04053	0.14084	-0.18816	-0.06659	0.02468	-0.18678	0.01491	0.30719	-0.23540	-0.04836	-0.01555	-0.23522	-0.03958	0.35807	-0.20379	-0.08033	-0.29896	-0.34756	0.01754
13	0.01148	0.26209	-0.31742	0.09675	-0.04553	0.04281	0.17851	0.19134	-0.24127	0.05557	-0.02036	0.04839	-0.20443	-0.42544	-0.04022	0.14923	-0.18998	-0.05617	0.04321	-0.20198	0.01386	0.31381	-0.28057	-0.05457	0.00102	-0.31760	-0.05234	0.37604	-0.25868	-0.09890	-0.26449	-0.39539	0.02000
14	0.02598	0.25355	-0.35903	0.11510	-0.04811	0.04710	0.18088	0.16761	-0.27078	0.07235	-0.02205	0.04937	-0.19042	-0.45944	-0.04059	0.14781	-0.18379	-0.04522	0.06236	-0.21963	0.01286	0.29940	-0.32194	-0.05696	0.01891	-0.39388	-0.06106	0.38524	-0.30765	-0.11255	-0.23163	-0.45038	0.01889
15	0.03513	0.24359	-0.39073	0.13699	-0.05119	0.04861	0.17332	0.13710	-0.29329	0.07639	-0.02362	0.04686	-0.17564	-0.48453	-0.04213	0.14081	-0.17057	-0.03674	0.07638	-0.23928	0.00951	0.27026	-0.34731	-0.05675	0.02866	-0.45111	-0.06592	0.38713	-0.34633	-0.12230	-0.20531	-0.50111	0.01115
16	0.03777	0.23438	-0.40854	0.15546	-0.05511	0.04709	0.16002	0.11016	-0.30614	0.06570	-0.02619	0.04132	-0.16239	-0.49954	-0.04556	0.13144	-0.15424	-0.03114	0.08213	-0.25968	0.00302	0.23791	-0.35261	-0.05541	0.02452	-0.48157	-0.06723	0.38361	-0.36908	-0.12837	-0.18831	-0.53826	-0.00324
17	0.03324	0.22581	-0.41185	0.16672	-0.05916	0.04332	0.14661	0.09261	-0.30959	0.04348	-0.02987	0.03395	-0.15155	-0.50507	-0.05123	0.12198	-0.13950	-0.02722	0.08113	-0.27885	-0.00586	0.21209	-0.34034	-0.05387	0.00631	-0.48571	-0.06591	0.37189	-0.37144	-0.12969	-0.18245	-0.55754	-0.02172
18	0.02210	0.21672	-0.40334	0.17093	-0.06211	0.03812	0.13697	0.08392	-0.30594	0.01487	-0.03399	0.02620	-0.14327	-0.50378	-0.05886	0.11472	-0.12908	-0.02368	0.07763	-0.29543	-0.01546	0.19631	-0.31646	-0.05252	-0.02016	-0.47059	-0.06323	0.34751	-0.35327	-0.12422	-0.18832	-0.55996	-0.04055
19	0.00709	0.20671	-0.38682	0.17091	-0.06272	0.03188	0.13160	0.08128	-0.29770	0.01495	-0.03755	0.01930	-0.13620	-0.49905	-0.06798	0.11089	-0.12287	-0.02008	0.07413	-0.30827	-0.02391	0.18908	-0.28713	-0.05120	-0.04719	-0.44530	-0.06013	0.31113	-0.31765	-0.10930	-0.20320	-0.54920	-0.05611
20	-0.00787	0.19615	-0.36553	0.17018	-0.06016	0.02629	0.13010	0.08246	-0.28620	0.04136	-0.03996	0.01398	-0.12894	-0.49391	-0.07815	0.11093	-0.11909	-0.01688	0.07179	-0.31544	-0.03007	0.18840	-0.25696	-0.04984	-0.06890	-0.41692	-0.05694	0.26813	-0.26891	-0.08310	-0.22055	-0.52879	-0.06574
21	-0.01938	0.18545	-0.34117	0.17145	-0.05420	0.02759	0.13302	0.08588	-0.27134	0.06122	-0.04128	0.01043	-0.12044	-0.48976	-0.08901	0.11495	-0.11541	-0.01447	0.07229	-0.31463	-0.03391	0.19374	-0.22805	-0.04865	-0.08228	-0.38909	-0.05346	0.22447	-0.21121	-0.04611	-0.23359	-0.50039	-0.06795
22	-0.02711	0.17385	-0.31400	0.17594	-0.04515	0.03966	0.14111	0.09001	-0.25251	0.07328	-0.04211	0.00854	-0.11214	-0.48654	-0.10004	0.12054	-0.10997	-0.01268	0.07747	-0.30433	-0.03608	0.20475	-0.20070	-0.04815	-0.08707	-0.36246	-0.04928	0.18164	-0.14752	-0.00143	-0.23853	-0.46353	-0.06230
23	-0.03339	0.16016	-0.28309	0.18381	-0.03352	0.05739	0.15367	0.09473	-0.22903	0.07728	-0.04314	0.00835	-0.10537	-0.48252	-0.11054	0.12415	-0.10102	-0.01060	0.08669	-0.28368	-0.03724	0.22065	-0.17439	-0.04904	-0.08421	-0.33563	-0.04381	0.13554	-0.07930	0.04632	-0.23708	-0.41697	-0.04896
24	-0.04141	0.14762	-0.24699	0.19513	-0.01962	0.07616	0.16899	0.10071	-0.20054	0.07356	-0.04465	0.01011	-0.10076	-0.47523	-0.11966	0.12488	-0.08643	-0.00668	0.09778	-0.25256	-0.03750	0.24020	-0.14852	-0.05179	-0.07585	-0.30610	-0.03611	0.08387	-0.00627	0.09296	-0.23918	-0.36093	-0.02859
25	-0.05332	0.14359	-0.20465	0.20988	-0.00333	0.09380	0.18492	0.10916	-0.16748	0.06325	-0.04633	0.01408	-0.09956	-0.46243	-0.12644	0.12266	-0.06495	0.00104	0.10773	-0.21221	-0.03637	0.26211	-0.12276	-0.05628	-0.06453	-0.27118	-0.02511	0.03269	0.07308	0.13646	-0.25787	-0.29776	-0.00262
26	-0.06807	0.15137	-0.15555	0.22711	0.01581	0.10956	0.19929	0.12168	-0.13135	0.04814	-0.04737	0.02034	-0.10255	-0.44191	-0.12961	0.11649	-0.03732	0.01454	0.11324	-0.16539	-0.03299	0.28533	-0.09731	-0.06176	-0.05121	-0.22839	-0.01007	-0.00631	0.15987	0.17727	-0.29677	-0.22999	0.02691
27	-0.08104	0.16524	-0.09952	0.24506	0.03849	0.12343	0.21066	0.13847	-0.09405	0.02989	-0.04682	0.02870	-0.10979	-0.41162	-0.12776	0.10537	-0.00548	0.03533	0.11275	-0.11519	-0.02653	0.30858	-0.07291	-0.06711	-0.03633	-0.17634	0.00917	-0.02229	0.25358	0.21749	-0.34217	-0.15773	0.05822
