	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
8	0.17579	0.19349	0.04375	0.11097	0.00728	0.04178	0.20719	0.08530	-0.04686	0.11935	-0.06204	0.06614	-0.03565	0.14243	0.03935	0.32222	-0.02383	-0.04646	0.14688	0.03754	-0.01528	0.26751	-0.13125	-0.10881	0.20505	-0.02474	-0.01694	0.39629	-0.05914	0.00350	-0.00895	0.18402	0.05694
9	0.19492	0.18574	0.04145	0.11198	-0.00603	0.04383	0.23065	0.07288	-0.06029	0.13025	-0.06993	0.07100	0.00993	0.14285	0.02714	0.34029	-0.02680	-0.06144	0.17911	0.03181	-0.01973	0.28218	-0.15239	-0.12014	0.21051	-0.02193	-0.03353	0.40955	-0.06741	-0.00873	0.00429	0.18054	0.04643
10	0.20516	0.18263	0.03895	0.11111	-0.02323	0.04371	0.24151	0.07244	-0.06955	0.13752	-0.07591	0.07409	0.04852	0.14292	0.01015	0.34505	-0.03036	-0.07414	0.19029	0.02770	-0.02352	0.29274	-0.16679	-0.12830	0.20926	-0.01734	-0.05532	0.42270	-0.07343	-0.02735	0.00029	0.17300	0.03052
11	0.21294	0.18105	0.03532	0.10889	-0.04254	0.04176	0.24822	0.07992	-0.07348	0.14036	-0.08053	0.07709	0.07692	0.14346	-0.00935	0.34201	-0.03648	-0.08283	0.19171	0.02576	-0.02602	0.30473	-0.17273	-0.13504	0.21577	-0.01159	-0.07945	0.43401	-0.07840	-0.05152	-0.00403	0.15960	0.01045
12	0.21667	0.17528	0.03021	0.10545	-0.06180	0.03925	0.25395	0.08148	-0.07189	0.13737	-0.08454	0.08082	0.09698	0.14327	-0.02886	0.32721	-0.04351	-0.08680	0.19633	0.02524	-0.02739	0.31156	-0.16902	-0.14170	0.23233	-0.00626	-0.10305	0.43260	-0.08287	-0.07826	-0.00576	0.14043	-0.01200
13	0.21204	0.16660	0.02412	0.10090	-0.07928	0.03772	0.25400	0.06926	-0.06526	0.12850	-0.08825	0.08500	0.11098	0.14037	-0.04654	0.30172	-0.04845	-0.08683	0.20502	0.02560	-0.02814	0.30298	-0.15612	-0.14835	0.24850	-0.00246	-0.12401	0.41296	-0.08713	-0.10392	-0.01396	0.11825	-0.03508
14	0.19868	0.15870	0.01800	0.09523	-0.09398	0.03778	0.24543	0.04646	-0.05452	0.11531	-0.09154	0.08854	0.11792	0.13400	-0.06145	0.27599	-0.04982	-0.08450	0.21257	0.02702	-0.02894	0.27828	-0.13606	-0.15414	0.25260	0.00050	-0.14105	0.37847	-0.09073	-0.12562	-0.03156	0.09604	-0.05729
15	0.17987	0.15242	0.01287	0.08859	-0.10536	0.03875	0.23110	0.02354	-0.04153	0.10143	-0.09435	0.09029	0.11668	0.12488	-0.07341	0.25843	-0.04798	-0.08130	0.21445	0.03019	-0.03050	0.24775	-0.11325	-0.15820	0.24122	0.00383	-0.15357	0.33653	-0.09238	-0.14129	-0.05350	0.07601	-0.07724
16	0.15885	0.14708	0.00911	0.08138	-0.11310	0.03931	0.21555	0.00841	-0.02914	0.09076	-0.09673	0.08971	0.10910	0.11405	-0.08274	0.24801	-0.04410	-0.07840	0.20960	0.03504	-0.03330	0.22150	-0.09332	-0.16017	0.21760	0.00766	-0.16150	0.29395	-0.09147	-0.14949	-0.07440	0.05942	-0.09337
17	0.13728	0.14171	0.00643	0.07390	-0.11703	0.03839	0.20462	0.00269	-0.01950	0.08503	-0.09871	0.08691	0.09753	0.10222	-0.09006	0.23916	-0.03959	-0.07645	0.20272	0.04063	-0.03726	0.20652	-0.07962	-0.16017	0.18823	0.01120	-0.16509	0.25304	-0.08807	-0.14937	-0.09156	0.04640	-0.10417
