	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC009_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC009_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC009_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC009_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0002_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0002_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0002_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_5.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_5.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_5.c3d	2014_04_03_PC009_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0004_4.c3d
7	3.04720	0.50120	9.81730	0.55033	-4.77996	1.12510	0.55272	0.74257	1.10308	1.16282	-4.69499	1.80740	0.09881	1.81161	-4.91111	2.79263	10.21444	-5.74427	1.05839	1.66496	-4.74963	3.43423	9.48249	-5.47158	0.35011	2.04082	-5.73347	2.43503	9.68772	-5.55671	0.90592	0.57279	-6.21559	0.95603	-1.06128	-2.00444	3.64655	9.19171	-4.82210	0.63815	0.93138	-5.65385	0.40864	1.22718	-4.38034	3.10816	10.67062	-5.19201	-0.83568	2.07838	-6.23651	3.71503	9.33834	-3.71982	0.00832	2.36792	-6.04482	2.63389	9.51078	-2.47277	1.93850	-0.60300	-1.02019	2.61209	10.44225	-5.26042
8	3.26762	0.52925	9.93399	0.60712	-4.12088	1.39025	0.76444	0.74891	0.83107	1.27225	-4.14539	2.34019	0.28162	1.69429	-4.80667	2.94423	10.33730	-5.29236	1.34290	1.40419	-4.50530	3.70288	9.58694	-4.64025	0.57657	2.02479	-5.59264	2.58455	9.73869	-5.15822	1.11061	0.36248	-5.70767	1.23649	-1.45060	-0.41635	3.84677	9.22757	-4.08443	0.85009	0.57806	-5.07963	0.58383	0.71684	-3.87136	3.35791	10.91752	-5.05622	-0.63967	1.92811	-6.14184	3.98886	9.55260	-2.65823	0.20444	2.13518	-5.90437	2.84009	9.50001	-1.38738	2.09747	-1.08263	0.57193	2.87570	10.61130	-4.68993
9	3.47983	0.55390	10.03094	0.62766	-3.29436	1.35778	0.99264	0.72539	0.40942	1.19047	-3.31014	2.45798	0.50727	1.34137	-4.32384	3.10730	10.41552	-4.50455	1.65443	0.96164	-3.93264	3.98430	9.68082	-3.41738	0.80201	1.64464	-4.86649	2.76249	9.74561	-4.44709	1.32646	-0.04878	-4.73294	1.47539	-1.61074	0.75806	4.03438	9.24526	-3.07288	1.10123	-0.01242	-3.90719	0.79725	-0.00655	-2.91169	3.61944	11.10330	-4.63080	-0.38918	1.44727	-5.44002	4.21811	9.80298	-1.82443	0.45977	1.64480	-5.24698	2.98929	9.59406	-0.84500	2.19180	-1.26703	1.50233	3.12336	10.66001	-3.61274
10	3.64881	0.57447	10.13346	0.62338	-2.52297	1.06069	1.21578	0.67375	-0.08446	0.96190	-2.23249	2.06272	0.75090	0.78842	-3.39466	3.25290	10.48432	-3.56173	1.95716	0.38385	-2.94996	4.23647	9.81508	-2.16686	1.00027	1.00029	-3.51037	2.93589	9.74412	-3.53895	1.54292	-0.55070	-3.37934	1.65003	-1.52424	1.20002	4.18618	9.29404	-2.11545	1.37570	-0.66689	-2.29214	1.02090	-0.81507	-1.52294	3.85584	11.23845	-3.96575	-0.10035	0.74648	-4.05477	4.35610	10.06901	-1.54364	0.75827	0.97247	-4.01934	3.05134	9.76286	-0.97808	2.20198	-1.17919	1.59856	3.31574	10.65982	-2.31328
11	3.74698	0.59393	10.25571	0.61760	-2.06004	0.75960	1.41032	0.60739	-0.51822	0.69803	-1.08235	1.28088	0.98116	0.16010	-2.07624	3.35471	10.58273	-2.78936	2.21300	-0.20724	-1.62455	4.42195	10.01396	-1.34750	1.14836	0.28765	-1.83098	3.06677	9.76584	-2.69957	1.74207	-0.98563	-1.92218	1.75406	-1.19651	0.85519	4.28022	9.36882	-1.55016	1.64491	-1.19221	-0.59217	1.22164	-1.50825	0.03569	4.03165	11.36095	-3.28531	0.19581	0.03114	-2.21377	4.37692	10.31269	-1.88779	1.07354	0.28706	-2.37672	3.01768	9.97045	-1.66031	2.12862	-0.85835	0.92226	3.42594	10.67027	-1.26029
12	3.76012	0.61421	10.38809	0.61871	-2.05128	0.75360	1.55557	0.54666	-0.77746	0.57628	-0.16148	0.67582	1.16795	-0.36999	-0.67976	3.39099	10.71377	-2.47140	2.38923	-0.67028	-0.29822	4.51278	10.26331	-1.23488	1.23326	-0.31222	-0.38035	3.11863	9.80855	-2.20618	1.90335	-1.23900	-0.74376	1.79663	-0.66107	-0.10313	4.30262	9.44494	-1.52729	1.87548	-1.47704	0.74877	1.36893	-1.93462	1.31545	4.11396	11.47404	-2.85468	0.45983	-0.52130	-0.44484	4.29208	10.51440	-2.68201	1.37044	-0.23166	-0.73076	2.91113	10.18664	-2.60200	1.99055	-0.35742	-0.29820	3.43874	10.69906	-0.83176
13	3.69494	0.63087	10.51392	0.62044	-2.46197	0.85371	1.63913	0.50682	-0.82613	0.67514	0.25861	1.11448	1.29138	-0.66896	0.33344	3.35074	10.85140	-2.68343	2.46688	-0.92644	0.57110	4.50362	10.53713	-1.80304	1.25783	-0.70055	0.38217	3.07420	9.86160	-2.19204	2.01451	-1.27577	-0.13478	1.79426	-0.01847	-1.33885	4.25871	9.52185	-1.96382	2.03997	-1.50781	1.41478	1.44305	-2.06011	1.94465	4.08462	11.55049	-2.82309	0.65665	-0.83562	0.72470	4.14783	10.66796	-3.61764	1.61362	-0.48821	0.41338	2.77656	10.37617	-3.48599	1.81314	0.22059	-1.72451	3.36325	10.74475	-1.12673
14	3.57959	0.63874	10.62126	0.61370	-3.10825	0.80274	1.66081	0.48965	-0.68755	0.80300	0.08952	1.58059	1.34622	-0.69354	0.63638	3.24027	10.96963	-3.28999	2.44611	-0.96103	0.70439	4.41975	10.81049	-2.79248	1.23895	-0.83490	0.29154	2.95051	9.92831	-2.58734	2.07980	-1.09769	-0.19061	1.76221	0.57239	-2.45533	4.17419	9.61126	-2.63226	2.12672	-1.30473	1.31423	1.44275	-1.91074	1.79157	3.95659	11.57230	-3.15674	0.76767	-0.89249	1.01695	3.99921	10.75129	-4.37752	1.77990	-0.47474	0.77609	2.65670	10.49910	-4.07529	1.61778	0.72193	-2.98999	3.23951	10.82768	-1.95435
15	3.45173	0.63996	10.69400	0.59999	-3.74846	0.59791	1.63204	0.48801	-0.39593	0.79890	-0.58055	1.61009	1.34138	-0.46054	0.18129	3.08369	11.04891	-4.04166	2.34716	-0.76948	0.06037	4.30607	11.04201	-3.84896	1.19768	-0.69931	-0.54912	2.79010	10.00675	-3.18469	2.11551	-0.71802	-0.82809	1.71102	0.96562	-3.12855	4.07991	9.70372	-3.27564	2.14115	-0.88525	0.53831	1.38801	-1.50712	0.93238	3.77587	11.54328	-3.67534	0.79583	-0.67627	0.42999	3.88154	10.72410	-4.73495	1.86570	-0.21490	0.35526	2.57339	10.52577	-4.26512	1.41696	1.00598	-3.79739	3.12329	10.95743	-2.96131
16	3.34249	0.64092	10.70521	0.59370	-4.17456	0.42278	1.56970	0.49548	0.00743	0.62476	-1.54528	1.19604	1.29408	-0.02071	-0.85199	2.91390	11.06485	-4.67790	2.20321	-0.35726	-1.20064	4.20328	11.17171	-4.65403	1.14802	-0.33718	-1.85361	2.63567	10.06738	-3.74537	2.13610	-0.19239	-1.82174	1.64673	1.10092	-3.19830	3.99615	9.76138	-3.68693	2.09893	-0.30182	-0.67153	1.31068	-0.88444	-0.40307	3.60156	11.46799	-4.14456	0.75913	-0.20646	-0.81511	3.80232	10.55864	-4.61206	1.88375	0.25235	-0.64891	2.52643	10.45105	-4.08198	1.21637	1.02130	-3.98794	3.06061	11.09869	-3.79360
