	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d
7	4.10759	1.41542	7.06038	0.99362	18.40631	2.56507	-1.17517	1.59954	-6.28782	1.24144	6.55815	1.94604	4.11343	4.59283	3.67388	6.02679	2.13104	6.11051	6.57354	8.65835	7.32858	6.63092	15.96021	17.06640	20.45687	16.74137	21.80671	-1.01241	-0.92010	-3.32016	0.55199	-6.47750	-7.16137	-7.03276	-4.47965	9.25193	6.18899	4.60007	6.19159
8	4.44044	1.46059	6.94877	1.30130	17.31691	2.73039	-1.35519	1.80642	-6.34158	1.37962	6.13554	1.70708	4.05863	4.55965	4.07078	6.76117	2.75198	5.68064	5.88771	8.87159	7.51231	6.79161	14.84680	16.25675	20.10294	14.99129	20.38680	-1.06173	-1.17281	-3.77907	0.59286	-6.06332	-7.62405	-7.15926	-4.51970	8.38179	6.45554	4.46411	5.24072
9	4.46726	0.98084	6.75646	1.27539	16.31710	2.62502	-1.33280	1.92020	-6.21993	1.69465	5.60249	1.53529	3.99428	4.51555	4.34605	6.05521	3.42521	5.68670	5.44634	8.58259	7.31409	6.75260	14.22528	15.32472	19.48728	13.80948	18.73873	-0.90300	-1.43257	-3.82293	0.82731	-5.43094	-8.09544	-7.07045	-4.28289	6.77320	7.06549	4.07094	4.50033
10	4.21351	0.38875	6.55089	1.06797	15.82854	2.27109	-1.17802	1.95321	-6.15342	2.03053	5.50113	1.61192	3.56679	4.38455	4.59113	4.33181	4.19330	5.85102	5.39690	8.17493	6.46987	6.86176	14.26357	14.47085	18.86585	13.88614	17.65630	-0.63939	-1.63209	-3.55966	1.11906	-4.96263	-8.38425	-7.28170	-3.98510	5.83574	7.60212	3.89430	4.67237
11	3.98576	0.88627	6.47000	1.06874	15.64990	1.83790	-1.00939	1.86663	-6.17885	2.21168	5.88614	1.30477	2.89246	3.82324	4.86542	3.44050	4.90720	5.80337	5.34891	7.92871	6.04900	7.22000	14.87016	13.80372	18.20266	14.46665	16.90631	-0.40618	-1.72730	-3.13917	1.23510	-4.82793	-8.40403	-7.68027	-3.80315	5.87269	7.67156	4.58216	5.41816
12	3.86913	1.26002	6.50143	1.25187	15.59619	1.45178	-0.88101	1.62903	-6.13650	2.20995	6.15258	0.73818	2.54263	2.73859	5.07375	3.76137	5.22931	5.68501	4.89381	7.85212	6.48255	7.59365	15.61960	13.48519	17.40747	15.16210	16.30658	-0.21664	-1.71725	-2.63976	1.04963	-4.90929	-8.20429	-7.77976	-3.65265	6.06792	7.18225	5.43427	5.92588
13	3.68533	1.52642	6.50921	1.51333	15.64538	1.22711	-0.80819	1.40439	-5.94511	2.13945	5.91711	0.31704	2.71107	1.51874	5.00854	4.22418	4.96412	5.81570	4.18224	7.77655	7.13884	7.63275	16.19178	13.49040	16.56185	15.96618	16.01670	0.00529	-1.64163	-2.30823	0.71183	-4.91237	-7.93308	-7.49936	-3.43563	5.94943	6.35190	5.64922	5.71789
14	3.40470	1.61532	6.50011	1.66406	15.74996	1.11135	-0.73429	1.31043	-5.69505	2.07413	5.49621	0.40445	3.04604	0.72080	4.52408	4.40363	4.32896	6.23789	3.70229	7.51677	7.69284	7.35075	16.50254	13.81477	15.89159	16.45379	16.08710	0.28697	-1.55658	-2.14005	0.47252	-4.75907	-7.75049	-7.02985	-3.24078	6.00029	5.53568	5.43343	5.01544
15	3.29149	1.64579	6.65911	1.83006	15.89038	0.90905	-0.56176	1.24762	-5.50156	1.99299	5.31258	0.85002	3.22430	0.63610	3.67821	5.13068	3.78816	6.79110	3.66911	7.03682	8.68038	7.11814	16.84403	14.49426	15.53729	16.23436	16.34193	0.57967	-1.50598	-1.76847	0.44773	-4.59237	-7.73745	-6.45223	-3.22419	6.47035	5.05285	5.28574	4.44138
16	3.36083	1.78614	6.95945	2.09541	16.03539	0.85922	-0.33158	1.21004	-5.36995	1.92947	5.41832	1.11340	3.41952	1.04131	2.73144	5.99015	3.62175	7.38422	3.95783	6.49380	9.80877	7.15263	17.28968	15.35231	15.45962	15.49838	16.57694	0.85014	-1.50741	-1.23272	0.56366	-4.48278	-7.86649	-5.75977	-3.37075	6.96282	5.06484	5.32241	4.32319
