	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d
7	0.29875	0.10850	0.06097	0.05411	-0.07281	0.06865	0.14856	0.07377	0.07393	0.04640	0.05700	0.07236	0.20969	0.03490	-0.01632	0.28608	0.07370	-0.01512	0.37070	0.03973	-0.10175	0.10894	0.02024	-0.04667	0.30791	0.02535	-0.13558	0.27829	0.14345	0.08292	0.19756	-0.00545	-0.10933	0.18508	0.08339	0.06596	0.49244	0.08906	-0.13900	0.42435	0.18934	0.08677	0.32582	0.09254	-0.12090	0.07633	0.06161	0.07638	0.14016	0.00038	-0.08719	0.23970	0.02155	-0.10066	0.09873	0.06602	0.09148	0.32308	0.08967	-0.10237	0.11279	0.08872	0.11246
8	0.39257	0.11903	0.10242	0.06080	-0.08653	0.07798	0.23132	0.06841	0.11719	0.04563	0.06499	0.07766	0.30858	0.07591	-0.01659	0.37892	0.12005	-0.01959	0.47028	0.07453	-0.12242	0.16667	0.05291	-0.05842	0.40940	0.07023	-0.15733	0.34813	0.18292	0.08894	0.27820	0.03137	-0.12874	0.25793	0.12503	0.07550	0.58296	0.13502	-0.16780	0.53391	0.24662	0.09048	0.43486	0.13599	-0.14128	0.20605	0.12852	0.08778	0.23917	0.04243	-0.08974	0.32466	0.05055	-0.11472	0.15401	0.10069	0.10234	0.42980	0.13342	-0.11538	0.18263	0.12357	0.12513
9	0.47155	0.12001	0.14704	0.06703	-0.10053	0.08584	0.30566	0.06778	0.16132	0.04514	0.07133	0.08156	0.40874	0.12543	-0.01698	0.46431	0.17176	-0.02704	0.54769	0.11296	-0.14420	0.23057	0.08827	-0.07197	0.49722	0.12328	-0.17905	0.41600	0.22970	0.09162	0.36059	0.07809	-0.14882	0.33471	0.17431	0.08370	0.65146	0.19116	-0.19449	0.62055	0.31098	0.08976	0.53636	0.17982	-0.16210	0.28034	0.16857	0.09466	0.31965	0.09052	-0.09087	0.40554	0.08382	-0.12758	0.22022	0.14477	0.11445	0.46399	0.15190	-0.12337	0.26304	0.16002	0.13442
10	0.54294	0.11458	0.19328	0.07383	-0.11556	0.09219	0.37052	0.06904	0.20350	0.04635	0.07438	0.08514	0.49965	0.17957	-0.01946	0.53762	0.22146	-0.03849	0.60425	0.15066	-0.16610	0.30013	0.12160	-0.08757	0.56740	0.17593	-0.20029	0.48082	0.27903	0.09048	0.43961	0.12734	-0.17004	0.40924	0.22629	0.08916	0.70048	0.24621	-0.21849	0.68408	0.37446	0.08445	0.62239	0.21794	-0.18578	0.31301	0.18743	0.09614	0.38173	0.13955	-0.09434	0.47712	0.11785	-0.14092	0.29214	0.19379	0.12569	0.53958	0.19305	-0.12849	0.34616	0.19491	0.13916
11	0.60391	0.10690	0.23247	0.07912	-0.13151	0.09702	0.43856	0.06421	0.24761	0.04775	0.07370	0.08916	0.57563	0.23239	-0.02529	0.59971	0.26141	-0.05337	0.64761	0.18285	-0.18574	0.37023	0.14880	-0.10475	0.62287	0.21950	-0.21960	0.54112	0.32501	0.08597	0.51323	0.17095	-0.19198	0.47867	0.27599	0.09124	0.73810	0.28854	-0.23866	0.73744	0.42735	0.07576	0.69435	0.24558	-0.21293	0.38963	0.23279	0.09551	0.43722	0.18559	-0.10248	0.53807	0.14847	-0.15558	0.36215	0.24082	0.13313	0.60575	0.23136	-0.13445	0.42256	0.22546	0.13882
12	0.65632	0.10104	0.25947	0.08181	-0.14705	0.10022	0.49888	0.06188	0.28482	0.04936	0.06887	0.09339	0.63754	0.27779	-0.03454	0.65226	0.28638	-0.06953	0.68236	0.20554	-0.20034	0.43375	0.16797	-0.12231	0.66957	0.24792	-0.23490	0.59469	0.36187	0.07918	0.58076	0.20310	-0.21314	0.54281	0.31995	0.09031	0.77042	0.31126	-0.25341	0.78981	0.46193	0.06596	0.75753	0.26047	-0.24165	0.44837	0.27127	0.09062	0.49452	0.22439	-0.11552	0.58897	0.17230	-0.17115	0.42590	0.28064	0.13461	0.65651	0.25950	-0.14252	0.48697	0.25079	0.13402
13	0.70043	0.09793	0.27261	0.08162	-0.16017	0.10174	0.55350	0.05828	0.31400	0.05002	0.06072	0.09745	0.68924	0.31115	-0.04600	0.69408	0.29493	-0.08409	0.70729	0.21633	-0.20780	0.48556	0.17965	-0.13846	0.70977	0.25902	-0.24401	0.63747	0.38483	0.07137	0.63995	0.22144	-0.23121	0.60227	0.35604	0.08749	0.79525	0.31277	-0.26102	0.84041	0.47526	0.05739	0.81182	0.26254	-0.26804	0.50453	0.30878	0.08159	0.55531	0.25176	-0.13208	0.63134	0.18767	-0.18620	0.48342	0.31115	0.12974	0.70002	0.27796	-0.15246	0.53801	0.27141	0.12617
14	0.73261	0.09630	0.27295	0.07921	-0.16902	0.10162	0.60022	0.05372	0.33359	0.05037	0.05077	0.10105	0.73314	0.33026	-0.05776	0.72200	0.28959	-0.09443	0.71798	0.21529	-0.20755	0.52267	0.18612	-0.15135	0.73702	0.25454	-0.24550	0.66515	0.39245	0.06377	0.68632	0.22681	-0.24382	0.65581	0.38281	0.08420	0.80561	0.29687	-0.26064	0.88231	0.46963	0.05165	0.85146	0.25385	-0.28768	0.55432	0.34065	0.06987	0.61530	0.26528	-0.14989	0.66697	0.19487	-0.19876	0.53581	0.33235	0.11989	0.73322	0.28467	-0.16343	0.57495	0.28797	0.11679
15	0.74917	0.09493	0.26401	0.07552	-0.17262	0.10009	0.63625	0.04996	0.34399	0.05172	0.04062	0.10397	0.76807	0.33572	-0.06775	0.73390	0.27546	-0.09920	0.71324	0.20562	-0.20112	0.54344	0.18991	-0.15960	0.74227	0.23893	-0.23953	0.67645	0.38746	0.05704	0.71408	0.22212	-0.24935	0.69930	0.39968	0.08151	0.79799	0.27044	-0.25340	0.90553	0.45047	0.04917	0.87062	0.23800	-0.29739	0.59743	0.36456	0.05719	0.66565	0.26580	-0.16661	0.69459	0.19570	-0.20687	0.58173	0.34541	0.10752	0.75709	0.28179	-0.17381	0.59696	0.30106	0.10707
16	0.74864	0.09287	0.24996	0.07137	-0.17125	0.09750	0.65853	0.04963	0.34679	0.05444	0.03145	0.10614	0.78953	0.33042	-0.07438	0.73070	0.25810	-0.09880	0.69858	0.19208	-0.19167	0.54837	0.19234	-0.16273	0.72425	0.21744	-0.22785	0.67341	0.37470	0.05115	0.71955	0.21098	-0.24766	0.72814	0.40756	0.07972	0.77599	0.24027	-0.24231	0.90114	0.42393	0.04922	0.86759	0.21881	-0.29647	0.62954	0.37840	0.04533	0.69946	0.25726	-0.18055	0.70898	0.19252	-0.20933	0.61686	0.35214	0.09526	0.77035	0.27265	-0.18178	0.60379	0.31068	0.09777
