	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d
7	0.13242	0.04227	-0.04621	0.02837	-0.00915	0.01329	0.02498	0.05332	-0.06337	0.02600	-0.02436	0.01681	0.06392	-0.02898	-0.00531	0.09791	-0.04642	-0.00215	0.12775	-0.06011	-0.03117	0.07103	-0.00269	0.01495	0.11678	-0.05305	-0.02052	0.10536	-0.07174	-0.01500	0.12534	-0.00885	0.00314	0.01143	-0.07443	-0.04001	0.16964	-0.06767	-0.02653	0.16946	-0.10208	-0.00801	0.17490	-0.06391	-0.01408	-0.02907	-0.05564	-0.02174	0.07596	-0.02104	-0.00183	0.15369	-0.02807	-0.00538	-0.00991	-0.05787	-0.01988	0.18615	-0.04648	-0.00553	-0.00388	-0.09952	-0.04773
8	0.16943	0.04633	-0.07218	0.03345	-0.01759	0.01710	0.06988	0.05652	-0.08577	0.02603	-0.02526	0.01634	0.09865	-0.05266	-0.01013	0.13832	-0.07388	-0.00766	0.16792	-0.08449	-0.04398	0.09183	-0.02050	0.01127	0.16118	-0.08128	-0.03354	0.13708	-0.09013	-0.01500	0.15368	-0.02848	-0.00468	0.04323	-0.09241	-0.04256	0.20551	-0.09807	-0.04296	0.22160	-0.13880	-0.01323	0.21974	-0.09435	-0.02538	0.06086	-0.08928	-0.01845	0.14236	-0.04377	-0.00894	0.18879	-0.05281	-0.01503	0.01644	-0.07533	-0.01768	0.21653	-0.06861	-0.00812	0.01930	-0.12369	-0.04892
9	0.20179	0.04656	-0.09992	0.03741	-0.02853	0.01964	0.10924	0.05888	-0.10730	0.02675	-0.02646	0.01647	0.13813	-0.07973	-0.01634	0.17411	-0.10286	-0.01528	0.20048	-0.10729	-0.05655	0.11593	-0.04142	0.00509	0.20099	-0.10856	-0.04709	0.16994	-0.11096	-0.01504	0.18171	-0.05048	-0.01388	0.08227	-0.11215	-0.04488	0.23326	-0.12751	-0.05853	0.25822	-0.17583	-0.02066	0.26040	-0.12472	-0.03783	0.10485	-0.10964	-0.01601	0.19116	-0.06683	-0.01682	0.22203	-0.07891	-0.02619	0.05527	-0.09509	-0.01571	0.23443	-0.10179	-0.02655	0.05197	-0.14913	-0.05030
10	0.22683	0.04417	-0.12563	0.04001	-0.03875	0.02116	0.14039	0.05452	-0.12737	0.02756	-0.02798	0.01709	0.17569	-0.10731	-0.02378	0.19932	-0.13051	-0.02458	0.22112	-0.12670	-0.06743	0.14180	-0.06394	-0.00342	0.22840	-0.13268	-0.05996	0.19844	-0.13280	-0.01513	0.20601	-0.07283	-0.02376	0.12047	-0.13198	-0.04668	0.24747	-0.15267	-0.07110	0.27448	-0.20969	-0.02909	0.29094	-0.15251	-0.05072	0.11511	-0.12087	-0.01495	0.21918	-0.08942	-0.02502	0.24972	-0.10399	-0.03832	0.09957	-0.11568	-0.01415	0.26017	-0.12907	-0.03405	0.08957	-0.17349	-0.05196
11	0.24301	0.04108	-0.14799	0.04134	-0.04851	0.02119	0.17302	0.04448	-0.14798	0.02712	-0.02922	0.01828	0.20517	-0.13272	-0.03211	0.21382	-0.15447	-0.03478	0.23067	-0.14186	-0.07551	0.16569	-0.08621	-0.01367	0.24291	-0.15259	-0.07107	0.21978	-0.15347	-0.01519	0.22402	-0.09401	-0.03371	0.15242	-0.15019	-0.04766	0.24976	-0.17162	-0.07950	0.27886	-0.23824	-0.03702	0.31018	-0.17667	-0.06339	0.16616	-0.14305	-0.01281	0.23488	-0.11193	-0.03313	0.26981	-0.12630	-0.05084	0.14002	-0.13493	-0.01306	0.28224	-0.15319	-0.04199	0.12488	-0.19432	-0.05346
12	0.25179	0.03968	-0.16597	0.04161	-0.05717	0.02000	0.19685	0.03654	-0.16547	0.02540	-0.03014	0.01945	0.22487	-0.15417	-0.04073	0.22056	-0.17304	-0.04495	0.23222	-0.15198	-0.08005	0.18370	-0.10635	-0.02462	0.24767	-0.16818	-0.07967	0.23346	-0.17072	-0.01500	0.23449	-0.11319	-0.04320	0.17723	-0.16551	-0.04747	0.24426	-0.18370	-0.08353	0.28135	-0.25986	-0.04306	0.32068	-0.19686	-0.07517	0.19913	-0.16112	-0.01110	0.24609	-0.13394	-0.04075	0.28219	-0.14492	-0.06310	0.17184	-0.15147	-0.01243	0.29770	-0.17338	-0.05076	0.15332	-0.21006	-0.05408
13	0.25415	0.04047	-0.17880	0.04096	-0.06400	0.01833	0.21446	0.03104	-0.17947	0.02245	-0.03030	0.02049	0.23608	-0.17077	-0.04890	0.22122	-0.18524	-0.05416	0.22728	-0.15632	-0.08082	0.19385	-0.12296	-0.03519	0.24451	-0.17964	-0.08548	0.23811	-0.18278	-0.01444	0.23675	-0.12969	-0.05169	0.19586	-0.17716	-0.04575	0.23221	-0.18890	-0.08380	0.28535	-0.27351	-0.04624	0.32402	-0.21214	-0.08544	0.22863	-0.17739	-0.00899	0.25529	-0.15432	-0.04752	0.28786	-0.15970	-0.07429	0.19546	-0.16497	-0.01198	0.30650	-0.18796	-0.05801	0.17343	-0.22018	-0.05314
14	0.25004	0.04287	-0.18625	0.03969	-0.06873	0.01708	0.22506	0.02854	-0.18925	0.01880	-0.02952	0.02137	0.24005	-0.18222	-0.05595	0.21613	-0.19093	-0.06153	0.21618	-0.15459	-0.07803	0.19622	-0.13522	-0.04445	0.23282	-0.18662	-0.08853	0.23279	-0.18895	-0.01357	0.23039	-0.14272	-0.05873	0.20833	-0.18465	-0.04233	0.21460	-0.18756	-0.08121	0.28801	-0.27917	-0.04602	0.32000	-0.22120	-0.09360	0.25157	-0.19016	-0.00642	0.26045	-0.17172	-0.05325	0.28773	-0.17108	-0.08367	0.21238	-0.17542	-0.01120	0.30828	-0.19742	-0.06429	0.18483	-0.22456	-0.05034
15	0.24002	0.04544	-0.18829	0.03820	-0.07111	0.01700	0.22847	0.02975	-0.19447	0.01521	-0.02774	0.02226	0.23707	-0.18856	-0.06133	0.20638	-0.19053	-0.06623	0.20197	-0.14712	-0.07213	0.19204	-0.14285	-0.05174	0.21324	-0.18830	-0.08890	0.21985	-0.18969	-0.01252	0.21573	-0.15130	-0.06394	0.21378	-0.18770	-0.03738	0.19562	-0.18046	-0.07672	0.28371	-0.27721	-0.04236	0.30857	-0.22325	-0.09907	0.26836	-0.19874	-0.00325	0.25809	-0.18477	-0.05789	0.28136	-0.17940	-0.09066	0.22266	-0.18259	-0.00974	0.30450	-0.20220	-0.06914	0.18806	-0.22334	-0.04567
16	0.22586	0.04603	-0.18521	0.03681	-0.07111	0.01821	0.22528	0.03279	-0.19496	0.01244	-0.02504	0.02330	0.22730	-0.19006	-0.06463	0.19442	-0.18485	-0.06764	0.19003	-0.13494	-0.06385	0.18342	-0.14598	-0.05671	0.18984	-0.18441	-0.08688	0.20418	-0.18598	-0.01141	0.19505	-0.15471	-0.06706	0.21260	-0.18628	-0.03114	0.18061	-0.16885	-0.07120	0.26880	-0.26793	-0.03566	0.29128	-0.21837	-0.10138	0.27644	-0.20214	0.00050	0.24793	-0.19265	-0.06142	0.26740	-0.18432	-0.09484	0.22574	-0.18588	-0.00741	0.29636	-0.20295	-0.07238	0.18478	-0.21683	-0.03934
